,ISIN,Code,Name,Country,Exchange,Currency,Type,ExchangeCode,ETF Underlying Index Ticker,Dvd Freq,AssetType
41,NL0009272780,TOF,VanEck Vectors Multi-Asset Growth Allocation UCITS ETF,France,FP,EUR,ETF,PA,Multi-Asset Growth Allocation,,Fixed Income
42,IE00BZ163G84,VECP,VANGUARD EUR CORPORATE BOND UCITS ETF,France,FP,EUR,ETF,PA,Euro Aggregate: Corporates,,Fixed Income
43,LU1708330235,GOVH,AMUNDI INDEX J.P. MORGAN GBI GLOBAL GOVIES UCITS ETF DR - EUR HEDGED,France,FP,EUR,ETF,PA,J.P. Morgan GBI Global EUR Hed,,Fixed Income
44,IE00BCRY6557,ERNE,iShares EUR Ultrashort Bond UCITS ETF,France,FP,EUR,ETF,PA,iBoxx EUR Liquid IG Ultrashort,,Fixed Income
45,NL0009272772,NTM,VanEck Vectors Multi-Asset Balanced Allocation UCITS ETF,France,FP,EUR,ETF,PA,Multi-Asset Balanced Allocatio,,Fixed Income
46,IE00B14X4Q57,IBGS,iShares Euro Government Bond 1 3yr UCITS ETF,France,FP,EUR,ETF,PA,Barclays Euro Gov Bond 1-3Y,Bi-Annually,Fixed Income
47,IE00B14X4S71,IBTS,iShares USD Treasury Bond 1 3yr UCITS ETF,France,FP,EUR,ETF,PA,ICE US Treasury 1-3Y Bond,,Fixed Income
48,IE00B4WXJG34,IEGY,iShares EUR Govt Bond 5-7yr UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Barclays Euro Gov Bond 5-7Y,,Fixed Income
49,IE00B3B8Q275,ICOV,iShares EUR Covered Bond UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Markit iBoxx Euro Covered,,Fixed Income
50,IE00B7LGZ558,IFRB,iShares France Govt Bnd UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Barclays France Treasury Bond,,Fixed Income
51,IE00BCRY5Y77,SDIG,iShares $ Short Duration Corporate Bond UCITS ETF,France,FP,EUR,ETF,PA,iBoxx USD Liquid IG 0-5Y,,Fixed Income
52,LU1215461325,UE27,UBS (Lux) Fund Solutions - Bloomberg MSCI US Liqui,France,FP,EUR,ETF,PA,BBGMSCI US Liq CorpSus hed EUR,,Fixed Income
53,FR0011607084,DSUS,Lyxor Daily Double Short 10Y US Treasury UCITS ETF - Acc,France,FP,EUR,ETF,PA,SGI x-2 10y US Treasury,,Fixed Income
54,IE00B1FZSC47,TPSA,iShares S TIPS UCITS ETF USD (Acc),France,FP,EUR,ETF,PA,Barclays US Gov Inflation Link,,Fixed Income
