,ISIN,Code,Name,Country,Exchange,Currency,Type,ISIN.1,ExchangeCode,logo
271,US4878361082,K,Kellogg Company,USA,NYSE,USD,Common Stock,US4878361082,US,/img/logos/US/k.png
272,US4932671088,KEY,KeyCorp,USA,NYSE,USD,Common Stock,US4932671088,US,/img/logos/US/key.png
273,CA4969024047,KGC,Kinross Gold Corporation,USA,NYSE,USD,Common Stock,CA4969024047,US,/img/logos/US/KGC.png
274,US5007541064,KHC,The Kraft Heinz Company,USA,NASDAQ,USD,Common Stock,US5007541064,US,/img/logos/US/khc.png
275,US49446R1095,KIM,Kimco Realty Corporation,USA,NYSE,USD,Common Stock,US49446R1095,US,/img/logos/US/kim.png
276,CA49741E1007,KL,Kirkland Lake Gold Ltd,USA,NYSE,USD,Common Stock,CA49741E1007,US,/img/logos/US/KL.png
277,US4824801009,KLAC,KLA Corporation,USA,NASDAQ,USD,Common Stock,US4824801009,US,/img/logos/US/KLAC.png
278,US4943681035,KMB,Kimberly-Clark Corporation,USA,NYSE,USD,Common Stock,US4943681035,US,/img/logos/US/KMB.png
279,US49456B1017,KMI,"Kinder Morgan, Inc",USA,NYSE,USD,Common Stock,US49456B1017,US,/img/logos/US/KMI.png
280,US1431301027,KMX,"CarMax, Inc",USA,NYSE,USD,Common Stock,US1431301027,US,/img/logos/US/KMX.png
281,US1912161007,KO,The Coca-Cola Company,USA,NYSE,USD,Common Stock,US1912161007,US,/img/logos/US/ko.png
282,US5006881065,KOS,Kosmos Energy Ltd,USA,NYSE,USD,Common Stock,US5006881065,US,/img/logos/US/KOS.png
283,US5010441013,KR,The Kroger Co,USA,NYSE,USD,Common Stock,US5010441013,US,/img/logos/US/KR.png
284,US5002551043,KSS,Kohl's Corporation,USA,NYSE,USD,Common Stock,US5002551043,US,/img/logos/US/KSS.png
